id_municipio,ano,familias_beneficiarias
1100015,2019,1452
1100023,2019,3707
1100031,2019,176
1100049,2019,2593
1100056,2019,654
1100064,2019,343
1100072,2019,399
1100080,2019,1652
1100098,2019,1361
1100106,2019,2986
1100114,2019,2037
1100122,2019,2293
1100130,2019,1846
1100148,2019,1365
1100155,2019,912
1100189,2019,799
1100205,2019,24394
1100254,2019,1689
1100262,2019,156
1100288,2019,1353
1100296,2019,398
1100304,2019,2974
1100320,2019,813
1100338,2019,1279
1100346,2019,1262
1100379,2019,716
1100403,2019,1034
1100452,2019,1981
1100502,2019,629
1100601,2019,223
1100700,2019,607
1100809,2019,2847
1100908,2019,203
1100924,2019,445
1100940,2019,1125
1101005,2019,812
1101104,2019,577
1101203,2019,440
1101302,2019,730
1101401,2019,591
1101435,2019,364
1101450,2019,257
1101468,2019,167
1101476,2019,169
1101484,2019,124
1101492,2019,960
1101500,2019,860
1101559,2019,235
1101609,2019,518
1101708,2019,789
1101757,2019,618
1101807,2019,494
1200013,2019,1715
1200054,2019,1426
1200104,2019,3275
1200138,2019,1451
1200179,2019,1434
1200203,2019,10738
1200252,2019,1791
1200302,2019,4921
1200328,2019,1335
1200336,2019,3251
1200344,2019,1770
1200351,2019,2833
1200385,2019,1577
1200393,2019,1542
1200401,2019,23308
1200427,2019,2474
1200435,2019,1112
1200450,2019,4352
1200500,2019,6973
1200609,2019,7427
1200708,2019,2021
1200807,2019,2727
1300029,2019,2372
1300060,2019,1523
1300086,2019,1972
1300102,2019,2989
1300144,2019,1417
1300201,2019,1934
1300300,2019,7668
1300409,2019,2422
1300508,2019,5410
1300607,2019,5325
1300631,2019,4880
1300680,2019,2344
1300706,2019,4945
1300805,2019,5001
1300839,2019,2057
1300904,2019,2527
1301001,2019,5906
1301100,2019,5323
1301159,2019,3960
1301209,2019,10055
1301308,2019,3407
1301407,2019,5324
1301506,2019,2884
1301605,2019,3551
1301654,2019,2631
1301704,2019,7414
1301803,2019,3793
1301852,2019,11811
1301902,2019,11399
1301951,2019,1657
1302009,2019,1643
1302108,2019,928
1302207,2019,1639
1302306,2019,3268
1302405,2019,8008
1302504,2019,17932
1302553,2019,3015
1302603,2019,123895
1302702,2019,5675
1302801,2019,2884
1302900,2019,9581
1303007,2019,3605
1303106,2019,4216
1303205,2019,2229
1303304,2019,3149
1303403,2019,15983
1303502,2019,3067
1303536,2019,3865
1303569,2019,3010
1303601,2019,2260
1303700,2019,4292
1303809,2019,5216
1303908,2019,4129
1303957,2019,1568
1304005,2019,2008
1304062,2019,6934
1304104,2019,2520
1304203,2019,8688
1304237,2019,3209
1304260,2019,2380
1304302,2019,2978
1304401,2019,3630
